base_user,imp_user,direction,modalities,combo_spec,fusion,q,tn,fp,fn,tp,accuracy,precision,recall,f1
user3,user11,user3->user11,"IF,IF,OCSVM,LOF","each:IF,IF,OCSVM,LOF",kof4,0.99,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523
user3,user11,user3->user11,"OCSVM,EE,OCSVM,LOF","each:OCSVM,EE,OCSVM,LOF",mean,0.99,8,2,0,30,0.95,0.9375,1.0,0.967741935483871
user3,user11,user3->user11,"OCSVM,EE,OCSVM,LOF","each:OCSVM,EE,OCSVM,LOF",max,0.99,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492
user3,user11,user3->user11,"OCSVM,EE,OCSVM,LOF","each:OCSVM,EE,OCSVM,LOF",weighted,0.99,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492
user3,user11,user3->user11,"OCSVM,EE,OCSVM,LOF","each:OCSVM,EE,OCSVM,LOF",kof4,0.99,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375
user3,user12,user3->user12,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",mean,0.99,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492
user3,user12,user3->user12,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",max,0.99,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492
user3,user12,user3->user12,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",weighted,0.99,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492
user3,user12,user3->user12,"LOF,EE,EE,EE","each:LOF,EE,EE,EE",kof4,0.99,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375
user3,user12,user3->user12,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",mean,0.99,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523
user3,user12,user3->user12,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",max,0.99,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492
user3,user12,user3->user12,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",weighted,0.99,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923
user3,user12,user3->user12,"EE,OCSVM,OCSVM,LOF","each:EE,OCSVM,OCSVM,LOF",kof4,0.99,3,7,0,30,0.825,0.8108108108108109,1.0,0.8955223880597014
user3,user12,user3->user12,"IF,OCSVM,EE,LOF","each:IF,OCSVM,EE,LOF",mean,0.99,8,2,0,30,0.95,0.9375,1.0,0.967741935483871
